accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,accelerometerTimestamp_sinceReboot,identifierForVendor,locationAltitude,locationCourse,locationFloor,locationHorizontalAccuracy,locationLatitude,locationLongitude,locationSpeed,locationTimestamp_since1970,locationVerticalAccuracy,loggingTime 
0.037827,-0.899017,-0.422806,387047.507691,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.116 +0700
0.037201,-0.899643,-0.422470,387047.607403,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.216 +0700
0.036072,-0.898636,-0.423157,387047.707115,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.316 +0700
0.036469,-0.898758,-0.421906,387047.806827,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.416 +0700
0.035736,-0.898895,-0.421402,387047.906540,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.516 +0700
0.036591,-0.899048,-0.421967,387048.006252,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.616 +0700
0.037079,-0.898819,-0.421921,387048.105964,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.716 +0700
0.035675,-0.898865,-0.421860,387048.205676,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.815 +0700
0.036362,-0.898483,-0.422043,387048.305388,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:04.916 +0700
0.036499,-0.898743,-0.422852,387048.405101,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.016 +0700
0.035934,-0.899261,-0.422256,387048.504813,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.116 +0700
0.035309,-0.898117,-0.422012,387048.604525,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.216 +0700
0.036102,-0.899567,-0.423431,387048.704237,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.316 +0700
0.036484,-0.899872,-0.422348,387048.803949,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.416 +0700
0.034882,-0.898651,-0.421280,387048.903662,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.516 +0700
0.035843,-0.898834,-0.422272,387049.003374,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.616 +0700
0.036499,-0.899414,-0.421310,387049.103086,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.716 +0700
0.036575,-0.899063,-0.421661,387049.202798,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.816 +0700
0.036163,-0.899506,-0.421875,387049.302510,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:05.916 +0700
0.035751,-0.898758,-0.422134,387049.402223,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.016 +0700
0.036850,-0.898438,-0.422119,387049.501935,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.116 +0700
0.036316,-0.899216,-0.421661,387049.601647,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.476823,-1.000000,-9999,65.000000,13.719450,100.445578,-1.000000,1602778324.938421,10.000000,2563-10-15 23:12:06.216 +0700
